N,num_procesos,pi_est,real_time
400000,8,3.137747098,0.002287697
600000,8,3.141180351,0.006703550
900000,8,3.143797288,0.004527704
1350000,8,3.139834263,0.005204758
2025000,8,3.141731660,0.012655725
3037500,8,3.139298017,0.011129311
4556250,8,3.142527458,0.019682593
6834375,8,3.143553723,0.034780795
10251562,8,3.143214298,0.046906753
15377343,8,3.143098011,0.064133302
23066015,8,3.142316635,0.091532221
34599022,8,3.143088040,0.131925211
51898533,8,3.142241677,0.188212494
77847800,8,3.141668642,0.294024197
116771700,8,3.141569287,0.419613170
400000,8,3.141764258,0.002207124
600000,8,3.134927270,0.002653626
900000,8,3.133628359,0.004058179
1350000,8,3.136886768,0.007871368
2025000,8,3.135325284,0.007791267
3037500,8,3.134357929,0.012239211
4556250,8,3.135350096,0.026476723
6834375,8,3.138800965,0.035733429
10251562,8,3.138016806,0.053615162
15377343,8,3.143488665,0.067438865
23066015,8,3.142136851,0.093601497
34599022,8,3.142496822,0.131956331
51898533,8,3.142262795,0.181865716
77847800,8,3.141955080,0.290834592
116771700,8,3.142286512,0.404910542
400000,8,3.142331925,0.002038017
600000,8,3.146484590,0.002397092
900000,8,3.143248303,0.006182169
1350000,8,3.145504026,0.005267786
2025000,8,3.139958413,0.007446769
3037500,8,3.137284470,0.019090779
4556250,8,3.138646006,0.020047439
6834375,8,3.141093256,0.032048502
10251562,8,3.139800603,0.049725750
15377343,8,3.140735598,0.070878240
23066015,8,3.140901176,0.083621329
34599022,8,3.141026736,0.138646595
51898533,8,3.141538101,0.195818633
77847800,8,3.141452486,0.277951369
116771700,8,3.141988051,0.413817810
400000,8,3.131630248,0.002047445
600000,8,3.131998058,0.006216683
900000,8,3.133879325,0.005853359
1350000,8,3.133842950,0.009209297
2025000,8,3.135184511,0.010047244
3037500,8,3.136144282,0.011670841
4556250,8,3.138403869,0.025885160
6834375,8,3.139648823,0.038870524
10251562,8,3.141232180,0.048978122
15377343,8,3.141207155,0.067141976
23066015,8,3.142504574,0.094377157
34599022,8,3.142297611,0.138580251
51898533,8,3.141396244,0.194349727
77847800,8,3.141241809,0.269242034
116771700,8,3.141518745,0.420413727
400000,8,3.143146761,0.002234386
600000,8,3.138715533,0.002933402
900000,8,3.142820227,0.011991524
1350000,8,3.145731243,0.006504265
2025000,8,3.139033612,0.011988789
3037500,8,3.140083384,0.011370265
4556250,8,3.141550238,0.027768375
6834375,8,3.140930131,0.037769953
10251562,8,3.140647077,0.046603562
15377343,8,3.140976812,0.067761403
23066015,8,3.141220698,0.093641943
34599022,8,3.141059529,0.143502326
51898533,8,3.140876657,0.195039526
77847800,8,3.140694460,0.286411706
116771700,8,3.140959683,0.416211696
400000,8,3.139175339,0.002070297
600000,8,3.137336924,0.003538732
900000,8,3.140878888,0.005779861
1350000,8,3.140959272,0.004969756
2025000,8,3.138240664,0.009882433
3037500,8,3.137877565,0.015434626
4556250,8,3.140350672,0.029223584
6834375,8,3.140045513,0.042092430
10251562,8,3.139521751,0.043981115
15377343,8,3.139969220,0.063856762
23066015,8,3.140917857,0.099045024
34599022,8,3.140877323,0.131636418
51898533,8,3.140474490,0.184146789
77847800,8,3.141836644,0.294938007
116771700,8,3.141574696,0.408684086
400000,8,3.138756582,0.002089844
600000,8,3.139783146,0.002842191
900000,8,3.135014630,0.006411309
1350000,8,3.138162850,0.005831588
2025000,8,3.139836697,0.007301666
3037500,8,3.144917813,0.018596739
4556250,8,3.143726519,0.017608819
6834375,8,3.143170602,0.033998453
10251562,8,3.143664427,0.048483080
15377343,8,3.142719658,0.069854142
23066015,8,3.142671127,0.101815720
34599022,8,3.142248526,0.131396175
51898533,8,3.141693853,0.202894051
77847800,8,3.141247259,0.295243481
116771700,8,3.141424174,0.409482187
400000,8,3.142381297,0.002097779
600000,8,3.147540984,0.004443926
900000,8,3.144214645,0.007722368
1350000,8,3.143599631,0.005032694
2025000,8,3.141468470,0.015111217
3037500,8,3.140966580,0.011164267
4556250,8,3.139556517,0.020986718
6834375,8,3.141055721,0.035397677
10251562,8,3.139838107,0.037084011
15377343,8,3.139562774,0.070154767
23066015,8,3.139847258,0.100158129
34599022,8,3.140929502,0.135519798
51898533,8,3.140467839,0.189745860
77847800,8,3.140861471,0.287041140
116771700,8,3.141053804,0.408327334
400000,8,3.133322889,0.002060680
600000,8,3.130641677,0.003443863
900000,8,3.134556042,0.005583171
1350000,8,3.137768977,0.005537795
2025000,8,3.139087138,0.010263170
3037500,8,3.138853582,0.014329646
4556250,8,3.140456734,0.019685438
6834375,8,3.140995090,0.035451247
10251562,8,3.140605704,0.049511777
15377343,8,3.140743296,0.067990994
23066015,8,3.139877604,0.094926261
34599022,8,3.140404653,0.125064456
51898533,8,3.140279335,0.196331488
77847800,8,3.141189208,0.286089639
116771700,8,3.141191785,0.432077513
400000,8,3.152436045,0.002204740
600000,8,3.154060064,0.004526361
900000,8,3.150157508,0.005738362
1350000,8,3.147961170,0.005267586
2025000,8,3.144795713,0.011891476
3037500,8,3.141340140,0.011785556
4556250,8,3.141959686,0.028763087
6834375,8,3.143427933,0.035402566
10251562,8,3.140723090,0.044844420
15377343,8,3.142035128,0.062307625
23066015,8,3.141557828,0.083722860
34599022,8,3.141079205,0.147160332
51898533,8,3.141227973,0.197692490
77847800,8,3.140470710,0.292916149
116771700,8,3.140585031,0.424402014
